Gene stable ID	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Gene type	Phenotype description	Source name	Gene name	RefSeq match transcript
ENSG00000175164	9	133250401	133276024	protein_coding	BLOOD GROUP ABO SYSTEM	MIM morbid	ABO	
ENSG00000281879	CHR_HG2030_PATCH	133255585	133275349	protein_coding	BLOOD GROUP ABO SYSTEM	MIM morbid	ABO	
ENSG00000230124	1	180269653	180502954	protein_coding	Autosomal Recessive Mental Retardation	DDG2P	ACBD6	
ENSG00000230124	1	180269653	180502954	protein_coding	Autosomal Recessive Mental Retardation	DDG2P	ACBD6	NM_032360.4
ENSG00000248746	11	66546395	66563334	protein_coding	Actn3 deficiency	MIM morbid	ACTN3	
ENSG00000248746	11	66546395	66563334	protein_coding	Actn3 deficiency	MIM morbid	ACTN3	NM_001104.4
ENSG00000248144	4	99336497	99352746	protein_coding	Alcohol dependence	MIM morbid	ADH1C	NM_000669.5
ENSG00000248144	4	99336497	99352746	protein_coding	Alcohol dependence	MIM morbid	ADH1C	
ENSG00000248144	4	99336497	99352746	protein_coding	Parkinson disease late-onset	MIM morbid	ADH1C	NM_000669.5
ENSG00000248144	4	99336497	99352746	protein_coding	Parkinson disease late-onset	MIM morbid	ADH1C	
ENSG00000264006	10	5154140	5185187	protein_coding			AKR1C8P	
ENSG00000251287	3	130081831	130113227	protein_coding			ALG1L2	NM_001136152.1
ENSG00000251287	3	130081831	130113227	protein_coding			ALG1L2	
ENSG00000260691	9	67832765	67920552	protein_coding			ANKRD20A1	
ENSG00000196912	2	97492663	97589965	protein_coding			ANKRD36B	
ENSG00000167117	17	50761029	50767557	protein_coding			ANKRD40CL	
ENSG00000248329	4	164877178	164898965	protein_coding			APELA	NM_001297550.2
ENSG00000248329	4	164877178	164898965	protein_coding			APELA	
ENSG00000272899	7	128866330	128872047	protein_coding			ATP6V1FNB	NM_001195150.3
ENSG00000214654	9	120792403	120799918	protein_coding			B3GNT10	
ENSG00000196289	1	241957767	241959062	protein_coding			BECN2	NM_001290693.1
ENSG00000235106	9	134025481	134034666	protein_coding			BRD3OS	NM_001355256.2
ENSG00000235106	9	134025481	134034666	protein_coding			BRD3OS	
ENSG00000237489	10	130020025	130110830	protein_coding			C10orf143	
ENSG00000237489	10	130020025	130110830	protein_coding			C10orf143	NM_001355042.2
